region_code,region_name,year,hiv_total,hiv_h,hiv_f,hiv_m,hep_b_total,hep_c_total,hep_b_m,hep_b_f,following,loss_of_follow,new_users,population,pct_new_users,pct_following,health_expend,cash_transfer_expend,gdpp,pop20_24,covid_per_capita,state_code
110001,Porto Velho,2013,301,65,104,197,217.0,64.0,118.0,99.0,0.0,0.0,0.0,621396.0,0.0,0.0,419.86525033955803,172.64738720558225,34.50055056678833,9.753928428892365,0.0,11
110001,Porto Velho,2014,306,62,106,200,237.0,59.0,123.0,114.0,0.0,0.0,0.0,621396.0,0.0,0.0,474.9067133035939,177.30558457086948,34.19920559514384,9.549631603679456,0.0,11
110001,Porto Velho,2015,248,51,93,155,178.0,96.0,92.0,86.0,0.0,0.0,0.0,621396.0,0.0,0.0,504.9435532092258,152.46353059884518,34.048577686370685,9.343722070949923,0.0,11
110001,Porto Velho,2016,233,56,70,163,190.0,104.0,97.0,93.0,0.0,0.0,0.0,621396.0,0.0,0.0,521.1941939922368,132.2184781363253,32.62966893896968,9.32566645102318,0.0,11
110001,Porto Velho,2017,249,71,55,194,210.0,97.0,115.0,95.0,0.0,0.0,0.0,621396.0,0.0,0.0,516.9129501799175,118.83574638394842,35.33642599887994,9.306829284385481,0.0,11
110001,Porto Velho,2018,216,56,58,158,216.0,117.0,123.0,93.0,4.0,0.0,4.0,621396.0,0.07142857142857142,0.07142857142857142,515.6183759953395,117.3850703738035,32.94297512375361,9.277359944383292,0.0,11
110001,Porto Velho,2019,213,45,58,155,150.0,67.0,97.0,53.0,8.0,10.0,4.0,621396.0,0.08888888888888889,0.17777777777777778,567.8242979517088,111.90317535034022,33.19939730864054,9.236913143953293,0.0,11
110001,Porto Velho,2020,187,40,51,135,62.0,29.0,36.0,26.0,25.0,20.0,17.0,621396.0,0.425,0.625,692.473912159074,30.272228080000524,33.25335523563075,9.169323378328796,0.08225994373957991,11
110001,Porto Velho,2021,207,38,58,149,0.0,0.0,0.0,0.0,61.0,37.0,36.0,621396.0,0.9473684210526315,1.605263157894737,776.6381822219646,41.563902181539625,,9.133218446851927,0.16259840745675866,11
110001,Porto Velho,2022,111,21,28,83,0.0,0.0,0.0,0.0,103.0,55.0,42.0,621396.0,2.0,4.904761904761905,,,,,0.19511808894811036,11
110002,Ariquemes,2013,40,5,12,28,152.0,7.0,84.0,68.0,0.0,0.0,0.0,227225.0,0.0,0.0,424.1392085377929,220.97103487732423,23.403787391352182,9.163950489602817,0.0,11
110002,Ariquemes,2014,29,3,9,20,119.0,6.0,65.0,54.0,0.0,0.0,0.0,227225.0,0.0,0.0,440.61118420068215,212.75668368357358,23.05656146990868,9.172778347452965,0.0,11
110002,Ariquemes,2015,38,1,18,20,159.0,23.0,88.0,71.0,0.0,0.0,0.0,227225.0,0.0,0.0,453.5976877984376,173.54879889976894,22.515340213444823,9.186351721861591,0.0,11
110002,Ariquemes,2016,28,3,11,17,122.0,16.0,59.0,63.0,0.0,0.0,0.0,227225.0,0.0,0.0,499.4426814831114,137.15771213554848,22.06480215645286,9.16797390251953,0.0,11
110002,Ariquemes,2017,26,2,8,18,91.0,17.0,52.0,39.0,0.0,0.0,0.0,227225.0,0.0,0.0,485.7558648036087,108.63577405655188,22.411102387501373,9.159970381780173,0.0,11
110002,Ariquemes,2018,31,2,14,17,87.0,18.0,42.0,45.0,0.0,0.0,0.0,227225.0,0.0,0.0,561.3513874353614,94.18728462977225,22.488501573330403,9.140943646165693,0.0,11
110002,Ariquemes,2019,30,4,10,20,53.0,9.0,33.0,20.0,0.0,0.0,0.0,227225.0,0.0,0.0,594.3594959181427,80.47323833204972,22.25013484431731,9.098538321047421,0.0,11
110002,Ariquemes,2020,28,1,11,17,51.0,7.0,29.0,22.0,2.0,0.0,2.0,227225.0,2.0,2.0,767.934131499615,22.2533832104742,22.80743201672351,9.038870370777863,0.04829134118164815,11
110002,Ariquemes,2021,31,0,11,20,0.0,0.0,0.0,0.0,2.0,3.0,0.0,227225.0,0.0,0.0,853.668597909561,31.77460741555727,,8.982106634393224,0.15976675101771373,11
110002,Ariquemes,2022,10,0,4,6,0.0,0.0,0.0,0.0,4.0,2.0,2.0,227225.0,0.0,0.0,,,,,0.19172010122125646,11
110003,Jaru,2013,7,0,3,4,57.0,1.0,31.0,26.0,0.0,0.0,0.0,125985.0,0.0,0.0,339.92716085248236,242.6686835734413,23.38661626384093,8.923809024883916,0.0,11
110003,Jaru,2014,12,0,7,5,49.0,3.0,21.0,28.0,0.0,0.0,0.0,125985.0,0.0,0.0,432.45022534428705,226.3793957217129,22.940381156486886,8.940021272373693,0.0,11
110003,Jaru,2015,5,0,2,3,68.0,7.0,32.0,36.0,0.0,0.0,0.0,125985.0,0.0,0.0,412.4075681231893,193.51949652736437,22.843230225820538,8.941925229193952,0.0,11
110003,Jaru,2016,7,0,5,2,72.0,6.0,36.0,36.0,0.0,0.0,0.0,125985.0,0.0,0.0,455.6365765765766,163.02024558479184,23.18356725006945,8.843071079890464,0.0,11
110003,Jaru,2017,12,1,3,9,56.0,10.0,22.0,34.0,0.0,0.0,0.0,125985.0,0.0,0.0,461.32164670397265,128.86000412747552,23.836147715997935,8.726971306107872,0.0,11
110003,Jaru,2018,11,1,3,8,89.0,5.0,39.0,50.0,0.0,0.0,0.0,125985.0,0.0,0.0,573.5846763503591,107.4453446045164,24.697971187046072,8.587606540461165,0.0,11
110003,Jaru,2019,7,0,2,5,106.0,12.0,51.0,55.0,0.0,0.0,0.0,125985.0,0.0,0.0,610.1986749216177,91.5579988887566,23.81350271857761,8.4481042187562,0.0,11
110003,Jaru,2020,6,1,2,4,33.0,2.0,20.0,13.0,0.0,0.0,0.0,125985.0,0.0,0.0,746.8834254077866,24.683070444894234,24.802794539032423,8.29033075366115,0.04080644521173155,11
110003,Jaru,2021,9,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125985.0,0.0,0.0,891.3681503353573,30.086225026788902,,8.198635789974997,0.13999285629241576,11
110003,Jaru,2022,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125985.0,0.0,0.0,,,,,0.16799142755089888,11
110004,Ji-Paraná,2013,45,6,16,29,90.0,19.0,55.0,35.0,0.0,0.0,0.0,330105.0,0.0,0.0,395.13951466957485,207.6499542266855,23.894639220853968,9.187437239666169,0.0,11
